posting_yyyymm|BUKRS|awtyp|document_count
200906|3100|VBRK|1
200906|2000|RMRP|1
200906|3100|RMRP|1
200905|1000|MKPF|340
200905|1000|BKPF|130
200905|1000|VBRK|47
200905|2000|BKPF|34
200905|5000|BKPF|28
200905|1000|RMRP|24
200905|2000|MKPF|20
200905|1000|AUAK|17
200905|5000|MKPF|15
200905|5000|VBRK|11
200905|1000|BKPFF|9
200905|6200|MKPF|7
200905|1000|PRCHG|6
200905|2000|RMRP|5
200905|2000|BKPFF|4
200905|6210|MKPF|3
200905|3100|MKPF|3
200905|3000|MKPF|2
200905|6200|VBRK|1
200905|6300|BKPF|1
200905|6200|PRCHG|1
200905|2000|VBRK|1
200905|5000|RMRP|1
200904|1000|BKPF|262
200904|1000|MKPF|115
200904|2000|BKPF|46
200904|5000|BKPF|23
200904|1000|VBRK|20
200904|1000|RMRP|13
200904|3100|BKPF|7
200904|2000|MKPF|7
200904|2000|VBRK|2
200903|1000|BKPF|52
200903|1000|MKPF|15
200903|3100|BKPF|7
200903|1000|VBRK|5
200903|6210|MKPF|3
200903|2000|MKPF|2
200903|2000|RMRP|2
200903|2000|VBRK|1
200903|1000|RMRP|1
200812|1000|BKPF|1
