posting_yyyymm|BUKRS|awtyp|document_count
201608|6200|VBRK|2
201608|1000|VBRK|2
201608|1000|BKPFF|2
201607|6260|BKPFF|17
201607|1000|MKPF|4
201607|6200|MKPF|2
201607|6200|VBRK|1
201607|1000|RMRP|1
201607|1000|BKPF|1
201606|6260|BKPFF|59
201606|6200|BKPF|2
201606|1000|MKPF|1
201606|1000|VBRK|1
201605|2000|BKPFF|21
201605|1000|BKPF|16
201605|1000|BKPFF|11
201605|2000|BKPF|3
201605|1000|MKPF|3
201605|6200|BKPF|3
201605|1000|VBRK|2
201605|6100|BKPF|1
201604|1000|MKPF|11
201604|1000|BKPF|4
201604|1000|VBRK|2
201604|2000|MKPF|1
201603|2000|BKPFF|23
201603|1000|BKPFF|20
201603|6200|BKPFF|16
201603|3100|BKPFF|6
201603|6110|BKPFF|5
201603|5000|BKPFF|5
201603|6300|BKPFF|3
201603|2000|MKPF|2
201603|6200|MKPF|2
201603|6210|MKPF|1
201603|5000|VBRK|1
201603|3100|MKPF|1
201602|1000|BKPFF|22
201602|2000|BKPFF|14
201602|1000|BKPF|5
201602|1000|MKPF|4
201602|1000|VBRK|2
201602|6200|MKPF|2
201602|6110|MKPF|1
201602|2000|BKPF|1
201601|1000|BKPFF|376
201601|2000|BKPFF|124
201601|6110|MKPF|51
201601|3000|BKPFF|38
201601|1000|BKPF|24
201601|6110|AUAK|12
201601|6110|VBRK|8
201601|1000|MKPF|6
201601|6110|BKPFF|2
201601|6300|BKPFF|1
201601|1000|VBRK|1
201601|6110|BKPF|1
201601|6200|MKPF|1
201512|1000|BKPFF|66
201512|6110|MKPF|40
201512|1000|BKPF|12
201512|6110|AUAK|11
201512|2000|BKPFF|9
201512|6110|VBRK|9
201512|6110|BKPFF|6
201512|3000|BKPFF|6
201512|6300|BKPFF|4
201512|6110|BKPF|2
201512|6110|RMRP|1
201512|6100|BKPF|1
201511|1000|BKPF|11
201511|6110|RMRP|4
201511|6110|BKPFF|3
201511|6110|BKPF|3
201511|6110|AUAK|1
201511|1000|MKPF|1
201511|1000|VBRK|1
201511|1000|RMRP|1
201510|1000|MKPF|3
201510|1000|VBRK|2
201510|1000|BKPF|2
201510|6110|BKPFF|2
201510|1000|BKPFF|1
201509|1000|BKPF|815
201509|6200|BKPF|138
201509|2000|BKPF|98
201509|6300|BKPF|65
201509|6210|BKPF|63
201509|3100|BKPF|59
201509|5000|BKPF|57
201509|3000|BKPF|45
201509|6100|BKPF|29
201509|1000|MKPF|14
201509|6110|BKPF|12
201509|6110|AUAK|3
201509|6110|BKPFF|2
201509|1000|AUAK|2
201509|1000|VBRK|1
201509|6110|MKPF|1
201509|6200|MKPF|1
201508|1000|MKPF|10
201508|1000|VBRK|7
201508|1000|PRCHG|5
201508|1000|BKPF|5
201508|2000|VBRK|5
201508|6110|MKPF|4
201508|6110|AUAK|4
201508|6110|BKPFF|3
201508|6200|MKPF|3
201508|2000|BKPFF|3
201508|1000|BKPFF|2
201508|1000|AUAK|2
201508|2000|RMRP|2
201508|6200|RMRP|1
201508|6200|VBRK|1
201508|2000|BKPF|1
201508|6110|BKPF|1
201508|6200|BKPF|1
201507|6110|BKPFF|3
201507|1000|BKPF|2
201507|6110|AUAK|1
201507|6110|MKPF|1
201507|6200|BKPF|1
201507|6110|BKPF|1
201506|1000|BKPF|3
201506|6110|BKPFF|3
201506|6110|MKPF|3
201506|6110|AUAK|1
201506|2000|BKPF|1
201505|6260|BKPFF|73
201505|6220|BKPFF|23
201505|6110|MKPF|17
201505|6110|AUAK|11
201505|1000|MKPF|11
201505|1000|VBRK|5
201505|1000|BKPF|5
201505|1000|AUAK|4
201505|6200|MKPF|3
201505|6110|VBRK|3
201505|6110|BKPFF|3
201505|6110|RMRP|1
201505|6200|RMRP|1
201505|6200|VBRK|1
201505|6300|MKPF|1
201505|2000|MKPF|1
201505|6200|AUAK|1
201505|1000|BKPFF|1
201505|6260|BKPF|1
201504|6110|MKPF|22
201504|6260|BKPFF|19
201504|1000|BKPF|16
201504|1000|RMRP|4
201504|6110|AUAK|3
201504|6110|BKPFF|3
201504|1000|MKPF|3
201504|6110|VBRK|2
201504|6200|MKPF|2
201503|6260|BKPFF|46
201503|1000|BKPF|18
201503|6230|BKPFF|16
201503|6110|BKPFF|12
201503|6110|MKPF|10
201503|1000|VBRK|7
201503|6110|VBRK|5
201503|6110|AUAK|2
201503|6110|RMRP|2
201503|2000|VBRK|1
201503|6110|BKPF|1
201502|6260|BKPFF|39
201502|6110|MKPF|23
201502|6110|BKPF|4
201502|6110|AUAK|3
201502|6220|BKPFF|2
201501|6260|BKPFF|27
201501|6110|MKPF|6
201501|6110|BKPF|3
201501|6110|AUAK|1
201501|1000|MKPF|1
201412|6200|BKPF|5
201412|1000|BKPF|5
201412|1000|MKPF|5
201412|6200|MKPF|4
201412|6210|BKPF|3
201412|1000|BKPFF|3
201412|1000|VBRK|2
201412|5000|BKPF|2
201412|2000|BKPFF|1
201412|1000|RMRP|1
201412|2000|MKPF|1
201412|6200|RMRP|1
201411|1000|MKPF|22
201411|1000|VBRK|17
201411|1000|RMRP|8
201411|6200|RMRP|4
201411|6300|MKPF|3
201411|1000|BKPF|2
201411|3100|VBRK|2
201411|6300|RMRP|1
201411|2000|RMRP|1
201411|6200|MKPF|1
201411|3100|RMRP|1
201411|5000|RMRP|1
201411|5000|VBRK|1
201411|5000|MKPF|1
201411|3100|MKPF|1
201411|2000|MKPF|1
201411|6300|VBRK|1
201411|2000|VBRK|1
201410|1000|MKPF|17
201410|6200|MKPF|8
201410|1000|VBRK|7
201410|6300|MKPF|4
201410|6200|VBRK|3
201410|5000|MKPF|1
201410|1000|RMRP|1
201410|6300|VBRK|1
201409|1000|MKPF|6
201409|1000|VBRK|5
201409|3000|MKPF|1
201409|3000|VBRK|1
201408|1000|RMRP|23
201408|1000|MKPF|21
201408|1000|VBRK|8
201408|6100|RMRP|4
201408|1000|BKPFF|3
201408|3000|BKPFF|3
201408|3000|VBRK|3
201408|5000|RMRP|3
201408|3000|RMRP|3
201408|6200|RMRP|2
201408|2000|RMRP|1
201408|6300|MKPF|1
201407|1000|VBRK|46
201407|3100|VBRK|3
201407|6200|VBRK|2
201407|2000|VBRK|2
201407|5000|VBRK|1
201407|1000|BKPF|1
201407|3100|RMRP|1
201406|1000|MKPF|10
201406|1000|VBRK|9
201406|3000|MKPF|4
201406|2000|MKPF|4
201406|6210|MKPF|3
201406|1000|BKPF|3
201406|1000|RMRP|2
201406|3100|MKPF|1
201406|6200|MKPF|1
201406|1000|BKPFF|1
201406|3100|RMRP|1
201405|1000|MKPF|3
201405|1000|VBRK|2
201404|1000|MKPF|1
201403|1000|RMRP|2
201403|6200|MKPF|1
201403|1000|MKPF|1
201402|1000|VBRK|1
201401|1000|MKPF|9
201401|1000|VBRK|7
201401|6200|MKPF|3
201401|1000|BKPF|2
201312|1000|BKPF|7
201312|1000|RMRP|3
201312|1000|MKPF|2
201312|2000|BKPFF|1
201311|1000|MKPF|5
201311|5000|MKPF|4
201311|6200|MKPF|4
201311|6200|VBRK|2
201311|2000|VBRK|2
201311|2000|MKPF|2
201311|2000|RMRP|2
201311|6210|MKPF|1
201310|1000|MKPF|8
201310|1000|VBRK|3
201310|1000|RMRP|3
201310|6200|VBRK|3
201310|6200|MKPF|1
201310|1000|BKPF|1
201309|6110|MKPF|15
201309|6110|VBRK|9
201309|6200|MKPF|5
201309|1000|MKPF|5
201309|1000|VBRK|4
201309|6110|AUAK|3
201309|6200|VBRK|1
201309|1000|BKPF|1
201309|6110|RMRP|1
201308|1000|VBRK|1
201308|1000|MKPF|1
201308|6300|MKPF|1
201308|2000|MKPF|1
