posting_yyyymm|WERKS|BWART|movement_rows
200904|1000|551|3
200904|2000|601|2
200904|1000|562|2
200904|1000|555|2
200904|1000|304|2
200904|2000|102|2
200904|1000|305|1
200903|1000|561|12
200903|1000|601|6
200903|1000|201|5
200903|6210|561|4
200903|1000|101|3
200903|1000|651|2
200903|1000|562|2
200903|2000|101|2
200903|1000|643|2
200903|1000|644|1
200903|6210|101|1
