posting_yyyymm|WERKS|BWART|movement_rows
201411|3100|101|2
201411|6300|101|2
201411|1000|102|1
201411|2000|101|1
201411|5000|101|1
201411|1000|651|1
201411|6300|643|1
201411|6200|101|1
201410|6200|601|30
201410|1000|601|18
201410|1000|101|8
201410|6300|101|3
201410|6200|101|2
201410|1000|602|2
201410|6200|643|2
201410|5000|601|1
201410|1000|651|1
201410|6300|601|1
201410|6300|102|1
201409|1000|601|3
201409|3000|601|1
201409|1000|161|1
201409|1000|602|1
201409|1000|101|1
201408|1000|601|20
201408|1000|602|8
201408|1000|101|6
201408|1000|561|2
201408|1000|643|1
201408|6300|101|1
201406|1000|601|4
201406|1000|561|3
201406|2000|601|3
201406|3000|601|2
201406|1000|602|2
201406|1000|101|2
201406|6210|101|2
201406|2000|602|1
201406|6210|102|1
201406|3000|602|1
201406|3000|561|1
201406|3100|602|1
201406|6200|643|1
201405|1000|601|4
201404|1000|601|2
201403|6200|344|4
201403|6200|905|1
201403|1000|101|1
201403|6200|903|1
201401|1000|601|15
201401|1000|101|1
201401|6200|101|1
201401|6200|905|1
201401|6200|903|1
201312|1000|311|6
201312|1000|161|1
201312|1000|101|1
201311|2000|101|4
201311|1000|101|4
201311|5000|101|3
201311|6200|101|3
201311|6210|101|2
201311|5000|643|2
201311|6200|601|1
201311|5000|102|1
201311|6200|643|1
201311|1000|102|1
201310|1000|601|3
201310|1000|101|3
201310|1000|561|2
201310|6200|601|1
201309|6110|905|5
201309|6110|903|4
201309|1000|601|4
201309|6110|601|4
201309|6110|101|4
201309|6110|643|3
201309|6200|561|3
201309|6200|101|2
201309|6200|601|2
201309|1000|561|1
201309|6110|561|1
201308|6210|201|9
201308|6300|201|9
201308|2000|201|1
201308|1000|601|1
201308|1000|101|1
201307|6110|601|8
201307|6110|101|7
201307|6110|561|2
201307|6200|101|1
201307|6110|903|1
201307|3000|101|1
201307|6110|905|1
201306|1000|101|23
201306|1000|601|5
201306|2000|601|3
201306|2000|413|2
201306|2000|101|1
201305|1000|101|3
201305|1000|261|1
201305|5000|601|1
201305|5000|101|1
201305|6210|101|1
201304|6200|101|2
201304|1000|102|1
201304|1000|101|1
201303|1000|601|10
201303|1000|101|7
201303|1000|561|6
201303|6200|101|3
201303|6200|601|3
201303|1000|702|1
201302|1000|101|83
201302|2000|643|41
201302|6200|101|23
201302|1000|643|17
201302|3100|101|13
201302|2000|561|10
201302|6300|101|10
201302|1000|561|8
201302|2000|101|7
201302|6210|101|6
201302|2000|102|3
201302|2000|413|2
201302|1000|601|2
201302|5000|101|2
201302|6200|413|2
201302|6100|101|2
201302|1000|161|2
201302|5000|643|1
201302|3000|102|1
201302|3100|102|1
201302|1000|106|1
201302|5000|601|1
201302|1000|105|1
201302|6300|102|1
201302|6200|601|1
201301|1000|201|7
201301|1000|601|3
201301|1000|561|2
201301|1000|101|2
201301|6200|261|2
201301|6210|101|1
201301|6200|561|1
201212|1000|601|19
201212|1000|101|13
201212|1000|561|12
201212|1000|643|2
201212|1000|309|2
201212|1000|301|2
201212|1000|322|2
201212|1000|321|2
201212|6200|101|1
201212|3100|561|1
201212|1000|602|1
201212|2000|561|1
201212|2000|101|1
201212|6200|261|1
201212|2000|643|1
201212|6300|101|1
201211|6200|601|2
201211|6210|653|1
201211|6210|601|1
201210|6200|201|2
201210|6200|101|1
201209|1000|101|2
201208|5000|101|8
201208|1000|101|6
201208|3000|101|4
201208|5000|561|2
201208|1000|102|2
201208|1000|643|2
201208|2000|601|2
201208|1000|231|1
201208|1000|905|1
201207|1000|101|6
201207|1000|561|2
201207|1000|551|1
201207|1000|601|1
201207|1000|201|1
201207|1000|602|1
201207|2000|561|1
201206|1000|905|85
201206|1000|101|33
201206|1000|261|10
201206|6300|101|7
201206|1000|561|5
201206|1000|903|4
201206|6200|101|3
201206|6210|101|2
201206|3000|101|2
201206|6100|101|1
201206|3100|101|1
201206|5000|101|1
201206|1000|601|1
201205|1000|101|83
201205|6200|101|24
201205|2000|101|22
201205|1000|261|22
201205|1000|161|4
201205|1000|561|3
201205|3100|101|3
201205|3000|101|3
201205|6210|101|2
201205|6100|101|1
201205|1000|105|1
201204|1000|261|10
201204|1000|101|9
201204|6300|101|7
201204|1000|561|5
201204|6200|643|4
201204|1000|531|4
201204|5000|643|4
201204|1000|601|3
201204|5000|101|3
201204|6200|101|2
201204|6200|561|2
201204|3100|101|1
201204|3100|161|1
201204|1000|562|1
201204|1000|532|1
201204|2000|601|1
201204|2000|561|1
201204|5000|644|1
201204|6200|261|1
201203|1000|561|2
201203|1000|651|1
201202|1000|601|4
201202|1000|101|3
201202|1000|561|2
201201|1000|561|3
201201|1000|101|2
201201|1000|601|2
201201|1000|412|2
201201|6200|411|2
201112|6200|643|16
201112|6300|101|15
201112|6200|101|4
201112|6200|561|3
201112|1000|101|3
201112|6200|645|2
201112|6200|102|1
201112|6300|102|1
201112|1000|561|1
201112|1000|601|1
201111|6200|601|7
201111|1000|601|7
201111|1000|561|3
201111|1000|412|2
201111|1000|101|1
201111|1000|501|1
201110|1000|101|5
201110|6200|101|2
201110|6200|651|1
201110|6200|601|1
201110|1000|651|1
201110|2000|101|1
201109|1000|561|5
201109|1000|412|4
201109|1000|601|2
201109|6200|643|1
201109|2000|601|1
201109|6300|101|1
201108|1000|601|5
201108|6200|645|4
201108|6300|101|2
201108|6210|101|2
201108|6200|601|1
201108|1000|101|1
201108|1000|561|1
201108|6300|561|1
201107|6200|101|24
201107|1000|101|9
201107|6200|645|8
201107|1000|602|6
201107|6300|101|5
201107|1000|561|4
201107|1000|601|4
201107|6210|101|4
201107|6210|645|3
201107|6200|344|2
201107|6300|645|2
201107|6200|311|2
201107|1000|412|2
201107|5000|602|1
201107|3100|602|1
201107|3100|101|1
201107|5000|101|1
201106|6200|645|24
201106|6210|101|18
201106|1000|541|10
201106|6300|101|8
201106|1000|561|6
201106|1000|601|4
201106|1000|101|4
201106|1000|543|3
201106|6200|643|2
201106|6200|101|1
201106|6200|561|1
201105|1000|561|3
201105|1000|601|2
201103|1000|311|4
201103|1000|601|2
201103|6200|601|2
201103|1000|561|2
201103|1000|643|1
201103|6200|561|1
201102|1000|561|3
201102|2000|561|1
201101|1000|101|5
201101|1000|309|2
201101|1000|413|2
201101|1000|310|2
201101|1000|501|1
201101|1000|701|1
201101|1000|201|1
201012|1000|601|6
201012|1000|101|3
201012|6200|101|3
201012|6200|601|2
201012|6200|413|2
201012|1000|413|2
201012|1000|411|2
201012|1000|561|2
201012|1000|602|1
201012|1000|201|1
201011|1000|601|6
201011|1000|101|4
201011|1000|602|4
201011|1000|301|4
201011|1000|302|2
201010|1000|311|32
201010|1000|101|10
201010|1000|601|6
201010|1000|561|1
201009|1000|561|15
201009|1000|601|6
201009|1000|101|3
201009|1000|651|2
201009|2000|561|1
201009|2000|601|1
201009|6200|561|1
201009|6200|601|1
201009|1000|562|1
201008|1000|601|21
201008|1000|101|17
201008|1000|561|9
201008|1000|412|8
201008|1000|651|6
201008|1000|453|6
201008|2000|601|6
201008|2000|561|4
201008|1000|602|3
201008|1000|901|3
201008|1000|201|2
201008|1000|413|2
201008|1000|102|2
201008|2000|453|2
201008|1000|411|2
201008|2000|901|2
201008|6200|561|2
201008|1000|652|1
201008|1000|902|1
201008|1000|103|1
201008|2000|602|1
201008|2000|643|1
201008|2000|651|1
201007|1000|561|23
201007|1000|412|16
201007|1000|601|11
201007|2000|601|7
201007|1000|901|5
201007|2000|561|4
201007|1000|301|3
201007|2000|301|3
201007|1000|202|2
201007|6200|202|2
201007|1000|201|2
201007|2000|643|1
201007|2000|101|1
201007|1000|501|1
201007|1000|302|1
201007|2000|302|1
201006|1000|601|25
201006|6200|561|7
201006|1000|101|7
201006|1000|561|6
201006|6200|413|6
201006|1000|412|4
201006|6200|411|2
201006|1000|261|2
201006|1000|653|2
201006|1000|501|1
201006|6200|101|1
201006|1000|511|1
201006|1000|651|1
201006|1000|643|1
201006|6200|601|1
201006|5000|101|1
201006|1000|301|1
201006|2000|301|1
201005|1000|601|10
201005|6200|101|8
201005|1000|561|5
201005|1000|101|5
201005|2000|601|3
201005|1000|653|1
201005|2000|561|1
201004|1000|101|31
201004|1000|561|15
201004|1000|601|10
201004|2000|561|5
201004|1000|701|4
201004|1000|653|4
201004|2000|601|3
201004|1000|201|2
201004|1000|702|2
201004|2000|101|1
201004|1000|102|1
201004|1000|501|1
201004|2000|602|1
201004|6200|101|1
201003|1000|561|10
201003|1000|601|10
201003|1000|101|9
201003|6200|101|7
201003|6300|101|6
201003|6200|601|5
