posting_yyyymm|VGABE|werks|history_rows
201204|2|5000|1
201204|2|1000|1
201204|1|6200|1
201204|1|1000|1
201202|1|1000|3
201201|1|1000|2
201201|2|1000|1
201112|8|[bla|18
201112|6|6200|18
201112|1|6300|16
201112|1|6200|5
201112|1|1000|3
201112|3|1000|2
201112|2|1000|1
201111|1|1000|1
201110|1|1000|5
201110|2|6200|2
201110|1|6200|2
201110|2|1000|2
201110|1|2000|1
201110|2|2000|1
201109|8|[bla|1
201109|1|6300|1
201109|6|6200|1
201108|8|[bla|4
201108|6|6200|4
201108|1|6300|2
201108|1|6210|2
201108|1|1000|1
201107|1|6200|24
201107|8|[bla|13
201107|1|1000|9
201107|6|6200|8
201107|1|6300|5
201107|1|6210|4
201107|6|6210|3
201107|6|6300|2
201107|1|3100|1
201107|1|5000|1
201106|8|[bla|28
201106|6|6200|26
201106|1|6210|18
201106|1|6300|8
201106|1|1000|4
201106|7|1000|3
201106|2|6210|1
201106|1|6200|1
201103|8|[bla|2
201103|6|1000|1
201101|1|1000|5
201012|1|1000|3
201012|1|6200|3
201012|4|[bla|1
201012|2|6200|1
201011|1|1000|4
201011|8|[bla|2
201010|1|1000|10
201010|4|[bla|1
201010|2|5000|1
201010|2|1000|1
201009|2|1000|10
201009|1|1000|3
201008|1|1000|16
201008|1|[bla|2
201008|8|[bla|1
201008|6|[bla|1
201008|2|[bla|1
201007|2|[bla|1
201007|8|[bla|1
201007|6|[bla|1
201007|1|2000|1
201006|1|1000|7
201006|6|[bla|1
201006|8|[bla|1
201006|1|6200|1
201006|1|5000|1
201006|2|1000|1
201005|1|6200|8
201005|1|1000|5
201004|1|1000|32
201004|1|6200|1
201004|1|2000|1
201003|1|6200|8
201003|1|1000|8
201003|1|6300|7
201003|2|6200|5
201003|1|6210|4
201003|2|6300|2
201003|1|3100|2
201003|2|[bla|1
201003|2|6100|1
201003|2|1000|1
201003|1|[bla|1
201003|2|3100|1
201003|8|[bla|1
201003|6|[bla|1
