clearing_yyyymm|BUKRS|BLART|cleared_item_count
200905|5000|DG|2
200905|1000|SA|2
200905|2000|AB|2
200905|5000|DR|1
200905|5000|AB|1
200905|1000|DR|1
200904|1000|DZ|29
200904|1000|AB|12
200904|1000|DR|11
200904|1000|DA|8
200904|5000|AB|5
200904|5000|DZ|5
200904|5000|DR|4
200904|1000|DG|4
200904|2000|DA|4
200904|2000|DR|3
200904|2000|DZ|3
200904|5000|DA|2
200904|5000|DG|1
200904|2000|DG|1
200904|1000|RV|1
200904|2000|AB|1
